Epoch, Train Loss, Val Loss, Train Accuracy, Val Accuracy
0,2.305393934249878, 2.3012351989746094
1,2.2568108206209927,2.0976407709000986,23.83,42.41
2,1.5013690650310663,1.0816633014739314,59.672,70.14
3,0.8969454545803996,0.8100676212129714,74.048,76.3
4,0.7112039707200911,0.6762267932107177,79.258,80.14
5,0.6007937517617364,0.5780804345879373,82.828,83.44
6,0.5212394201846988,0.5092181005055392,84.864,85.31
7,0.45977436025124374,0.47156735726549653,86.54,86.32
8,0.41119925300483506,0.41194195969949793,87.89,87.89
9,0.3729750857023937,0.3714098698353466,89.006,89.05
10,0.3430388138041167,0.3452335652671283,89.956,89.98
11,0.31772039731597657,0.32160785002044484,90.66,90.55
12,0.2969413092526633,0.3025374644542042,91.21,91.03
13,0.2788214557387335,0.28920573580868636,91.654,91.11
14,0.26373411985614414,0.2782821113927455,92.068,91.25
15,0.2502229986212138,0.2595562597241583,92.498,92.11
16,0.2385959884585322,0.2498275577267514,92.734,92.37
17,0.2282946697814995,0.23355983240129072,92.996,92.87
18,0.21876274133124923,0.22539478059433685,93.324,92.97
19,0.21109439937583627,0.21984904872465738,93.56,93.28
20,0.20163850011804219,0.2111353404537032,93.846,93.64
21,0.19490038632127024,0.20348062903820713,94.056,93.85
22,0.18780237220970872,0.19402111076478717,94.172,93.99
23,0.1824325264033759,0.1911549019285395,94.454,94.05
24,0.17639079291726012,0.19496183686807186,94.56,94.06
25,0.17072899235636377,0.17972244652388972,94.75,94.56
26,0.166692057229064,0.17814728193267992,94.928,94.53
27,0.1624849030981436,0.17211797343024723,95.032,94.69
28,0.15861865779018158,0.17021441822753677,95.18,94.81
29,0.15504811277322453,0.17724421148813224,95.216,94.94
30,0.15122763298051742,0.16172826662659645,95.288,94.96
31,0.14818676066634906,0.15677507174543187,95.46,95.14
32,0.14526054929093937,0.15976176293024533,95.494,95.24
33,0.14205174596832537,0.16014783834166166,95.546,95.23
34,0.13983033243995494,0.1533562455656408,95.65,95.44
35,0.1370675972831981,0.14869977901630763,95.742,95.47
36,0.13404686818532932,0.14481555646922015,95.804,95.56
37,0.13212882669266227,0.14365097521981107,95.878,95.72
38,0.12945415910400088,0.14451484594352637,95.978,95.68
39,0.12784514312282244,0.13869664879350724,95.984,95.81
40,0.12541785010653536,0.13945488025776193,96.086,95.71
41,0.12390246242761155,0.13542915873606748,96.166,95.84
42,0.12173297328641043,0.13353945248866383,96.204,95.98
43,0.12014802544356307,0.13440713074199762,96.26,95.88
44,0.11834981563069936,0.13150656991932966,96.298,95.9
45,0.11668095486643522,0.12919502092313162,96.354,96.13
46,0.11481934518593809,0.12874196974348417,96.366,96.06
47,0.11319109080049693,0.12611789845778973,96.43,96.17
48,0.11156819604070442,0.12756249780141854,96.488,96.16
49,0.11020558830493551,0.13028167798832246,96.554,95.99
50,0.10838837473822371,0.12139582096398631,96.596,96.34
51,0.10699790176432913,0.12286018792398368,96.648,96.36
52,0.10521043982366314,0.12224660464857198,96.736,96.32
53,0.10446370203438622,0.12129593759633694,96.78,96.22
54,0.10322119643354355,0.11678259112412416,96.76,96.39
55,0.10149555286044812,0.12154803552393671,96.802,96.14
56,0.10002565953661413,0.11660381700089083,96.904,96.46
57,0.09864274072734748,0.11791465242829503,96.936,96.38
58,0.09827313052914331,0.1217102788954596,96.858,96.47
59,0.0970561554836457,0.11245366765917102,96.986,96.61
60,0.09600967509419564,0.11361636961751347,96.956,96.48
61,0.09425150255298675,0.11081982545460327,97.068,96.64
62,0.09372722755765062,0.11024660402555254,97.012,96.65
63,0.09223294401031626,0.10824400224263155,97.134,96.81
64,0.09108943642233797,0.10914668096583101,97.178,96.59
65,0.09076039050050709,0.11021907563922526,97.18,96.52
66,0.08908344956491228,0.11318415917361839,97.18,96.58
67,0.08862517859377063,0.11293126505952847,97.266,96.78
68,0.08758400112409573,0.10537471593935278,97.22,96.78
69,0.08741279480897862,0.11511357826522634,97.266,96.56
70,0.08593272956569328,0.10968379433490807,97.326,96.78
71,0.08531726343209481,0.10461235317531266,97.306,96.7
72,0.08423858256462742,0.10135995186393774,97.35,96.9
73,0.08327872631237711,0.10270837317161922,97.426,96.84
74,0.08286188619540018,0.10412904092028172,97.428,96.94
75,0.08164040843391662,0.10914021173987208,97.418,96.7
76,0.0810828108192824,0.09839530381126495,97.496,96.97
77,0.08006917411113715,0.10653707540676563,97.564,96.83
